;MUSEUM;SP;lineage;lineage25;CODE_correct;SEX;Lineage;linAK;logSVL;logTRL;logHL;logPL;logHW;logHH;logMO;logFLL;logHLL;logHS
648;NHMLondon;Lacerta viridis;adriatic;adriatic;1967.629;F;L. viridis adriatic;adriatic;4.772801027;4.108904714;3.642835516;3.138966442;2.712706013;2.676903472;3.057767664;3.665610827;4.032000457;2.97960253
649;NHMLondon;Lacerta viridis;adriatic;adriatic;1970.1422;F;L. viridis adriatic;adriatic;4.557659203;3.938859659;3.315639493;3.010620886;2.621765833;2.509599262;2.910718899;3.401863826;3.790533108;2.794185237
650;NHMLondon;Lacerta viridis;adriatic;adriatic;1970.1423;F;L. viridis adriatic;adriatic;4.62751859;3.980615797;3.493472658;3.099190982;2.712706013;2.485739636;3.005187432;3.510051787;3.920586236;2.866631741
652;NHMLondon;Lacerta viridis;adriatic;adriatic;1970.1425;F;L. viridis adriatic;adriatic;4.532384416;3.834493803;3.410487429;3.026746327;2.561867691;2.421256623;2.931193752;3.375195579;3.778720158;2.765697372
657;ZFMK Bonn;Lacerta viridis;adriatic;adriatic;99543;F;L. viridis adriatic;adriatic;4.859812404;4.182050143;3.694115721;3.352007137;2.885359216;2.72719902;3.229617921;3.702042441;4.245490733;3.074744776
658;ZFMK Bonn;Lacerta viridis;adriatic;adriatic;99544;F;L. viridis adriatic;adriatic;4.840242308;4.175924549;3.673511977;3.301377046;2.848391686;2.689207113;3.172203417;2.316487998;4.249780131;3.041597951
659;ZFMK Bonn;Lacerta viridis;adriatic;adriatic;36016;F;L. viridis adriatic;adriatic;4.611847841;3.94951145;3.472587378;3.072230245;2.647592232;2.469793012;2.934388643;3.524888854;4.036715449;2.83175024
661;ZFMK Bonn;Lacerta viridis;adriatic;adriatic;3501;F;L. viridis adriatic;adriatic;4.668895877;4.010238053;3.503152104;3.121042465;2.676903472;2.54709867;3.013080912;3.505557397;4.007333185;2.879911607
1068;NHMWien;Lacerta viridis;adriatic;adriatic;19179.1;F;L. viridis adriatic;adriatic;4.859812404;4.261411467;3.729061244;3.332918541;2.931726944;2.706048198;3.202339856;3.774827766;4.277915338;3.092807245
1070;NHMWien;Lacerta viridis;adriatic;adriatic;19179.3;F;L. viridis adriatic;adriatic;4.852030264;4.24563401;3.760502198;3.335413641;2.872999508;2.720637317;3.21647294;3.717952702;4.22566518;3.086152266
1074;NHMWien;Lacerta viridis;adriatic;adriatic;10849.1;F;L. viridis adriatic;adriatic;4.740836797;4.158883083;3.486457226;3.138966442;2.706048198;2.608598122;3.051639905;3.575150689;3.974809994;2.908767542
1075;NHMWien;Lacerta viridis;adriatic;adriatic;10849.2;F;L. viridis adriatic;adriatic;4.645640119;4.083452121;3.353406718;3.076851325;2.642622396;2.554121719;2.910174385;3.502549876;3.932609639;2.828704907
1078;NHMWien;Lacerta viridis;adriatic;adriatic;10845.4;F;L. viridis adriatic;adriatic;4.670021158;3.993049844;3.448716898;3.117949906;2.738902665;2.61958322;3.029650492;3.496810546;3.979307752;2.913994858
1079;NHMWien;Lacerta viridis;adriatic;adriatic;10845.3;F;L. viridis adriatic;adriatic;4.71545854;4.167749907;3.410487429;3.148453361;2.788092909;2.668616132;3.043092845;3.507357577;3.960622675;2.93857379
1081;NHMWien;Lacerta viridis;adriatic;adriatic;10845.7;F;L. viridis adriatic;adriatic;4.555454594;3.935153423;3.401197382;2.984165637;2.549445171;2.447550863;2.884241898;3.412796518;3.881151342;2.768660763
653;NHMLondon;Lacerta viridis;adriatic;adriatic;99.2.23.2;M;L. viridis adriatic;adriatic;4.621437158;3.90841651;3.52459426;3.17971911;2.797281335;2.622492313;3.078693794;3.444576105;3.93064847;2.957012545
654;ZFMK Bonn;Lacerta viridis;adriatic;adriatic;13127;M;L. viridis adriatic;adriatic;4.735759756;3.992865393;3.703275334;3.372111801;2.956991445;2.830267834;3.261168737;3.752323627;4.17699924;3.141144162
655;ZFMK Bonn;Lacerta viridis;adriatic;adriatic;92197;M;L. viridis adriatic;adriatic;4.754193457;4.104954741;3.6412636;3.316365446;2.953346557;2.806990149;3.186352633;3.666889436;4.199455047;3.113645321
656;ZFMK Bonn;Lacerta viridis;adriatic;adriatic;99542;M;L. viridis adriatic;adriatic;4.618875833;3.886910305;3.490428515;3.185939325;2.785011242;2.656756907;3.113515309;3.546739687;4.14930612;2.95587347
660;ZFMK Bonn;Lacerta viridis;adriatic;adriatic;3500;M;L. viridis adriatic;adriatic;4.637056375;3.920586236;3.528417232;3.226843995;2.824943953;2.733717948;3.101892469;3.487375078;3.94951145;3.009177631
1069;NHMWien;Lacerta viridis;adriatic;adriatic;19179.2;M;L. viridis adriatic;adriatic;4.787491743;4.051958846;3.793464669;3.405853193;3.007166651;2.824350657;3.287281858;3.731220295;4.24506078;3.182028403
1071;NHMWien;Lacerta viridis;adriatic;adriatic;19179.4;M;L. viridis adriatic;adriatic;4.679906532;3.912422925;3.660737148;3.308716529;2.846652051;2.653241965;3.17722015;3.668421612;4.194491511;3.023847815
1072;NHMWien;Lacerta viridis;adriatic;adriatic;19179.5;M;L. viridis adriatic;adriatic;4.652816839;3.890595058;3.59703825;3.221671912;2.765689981;2.604170071;3.070375817;3.62700405;4.177306083;2.958961392
1076;NHMWien;Lacerta viridis;adriatic;adriatic;10849.3;M;L. viridis adriatic;adriatic;4.674602961;3.939248992;3.588782838;3.203965212;2.813010637;2.681021529;3.148453361;3.595118074;4.040592106;3.002430421
1077;NHMWien;Lacerta viridis;adriatic;adriatic;10849.7;M;L. viridis adriatic;adriatic;4.742755849;4.025530246;3.707210411;3.290638191;2.980618636;2.86105737;3.201526187;3.598954747;4.055776969;3.161986939
1082;NHMWien;Lacerta viridis;adriatic;adriatic;10846.9;M;L. viridis adriatic;adriatic;4.710970605;4.029094677;3.684369299;3.357245494;2.921547375;2.750470917;3.218875825;3.565581238;4.06988109;3.093577842
1083;NHMWien;Lacerta viridis;adriatic;adriatic;10846.11;M;L. viridis adriatic;adriatic;4.545207845;3.792112709;3.464485121;3.161670351;2.779440197;2.700689847;3.026746327;3.406848053;3.931041011;2.962717541
1085;NHMWien;Lacerta viridis;adriatic;adriatic;10846.2;M;L. viridis adriatic;adriatic;4.776683544;3.946037884;3.748091314;3.350254903;3.042138646;2.909629575;3.280911216;3.62300671;4.050218504;3.213233525
7;NHMLondon;Lacerta agilis;agilis;agilis;1887.8.25.1;F;L. agilis agilis;agilis;4.557973751;4.012049319;3.332918541;2.929592471;2.577941516;2.521720623;2.807593831;3.319987326;3.641787847;2.787821159
8;NHMLondon;Lacerta agilis;agilis;agilis;1887.8.25.2;F;L. agilis agilis;agilis;4.483567364;3.939248992;3.223266173;2.837908188;2.517696473;2.468099531;2.740840024;3.203965212;3.5484673;2.71573509
10;NHMLondon;Lacerta agilis;agilis;agilis;1887.8.25.4;F;L. agilis agilis;agilis;4.457945466;3.857144344;3.17722015;2.831447079;2.537657215;2.463001814;2.701361213;3.125004609;3.502851035;2.707997958
40;NHMLondon;Lacerta agilis;argus;agilis;1885.7.15.7;F;L. agilis agilis;agilis;4.451202823;3.846096855;3.161670351;2.865623588;2.42568729;2.297572551;2.742773637;3.218075505;3.547891761;2.602197235
51;NMPrague;Lacerta agilis;argus;agilis;73894;F;L. agilis agilis;agilis;4.444649259;3.844386357;3.245322995;2.794227897;2.462149663;2.251291799;2.694627181;3.196630216;3.586569835;2.620201684
82;ZSM Munich;Lacerta agilis;argus;agilis;2117/2006;F;L. agilis agilis;agilis;4.554087396;4.028382807;3.28765534;2.891482252;2.57261223;2.478217662;2.817801065;3.326473835;3.642573701;2.757189949
83;ZSM Munich;Lacerta agilis;argus;agilis;2118/2006;F;L. agilis agilis;agilis;4.506674939;3.944683788;3.238286218;2.837322537;2.48490665;2.346601978;2.714032273;3.208825489;3.519868911;2.662900346
96;NMPrague;Lacerta agilis;argus;agilis;34688/2;F;L. agilis agilis;agilis;4.455160919;3.845241972;3.213662258;2.852439104;2.440606391;2.346601978;2.750470917;3.151453149;3.48553853;2.64025457
104;NMPrague;Lacerta agilis;argus;agilis;34693/1;F;L. agilis agilis;agilis;4.455509411;3.78328013;3.312001803;2.902519892;2.48740353;2.377692565;2.794839331;3.228430038;3.614155908;2.69565414
106;NMPrague;Lacerta agilis;argus;agilis;34698;F;L. agilis agilis;agilis;4.448165437;3.836005519;3.183041372;2.879198457;2.50389195;2.388762789;2.791165108;3.21164978;3.567558919;2.670199012
179;MNCN;Lacerta agilis;garzoni;agilis;32206;F;L. agilis agilis;agilis;4.306090069;3.657388787;3.137231836;2.747270914;2.4176979;2.202764758;2.603430152;3.096029995;3.392829132;2.55645953
180;MNCN;Lacerta agilis;garzoni;agilis;32207;F;L. agilis agilis;agilis;4.454696073;3.842458542;3.222867846;2.849549763;2.498973907;2.314513664;2.727852828;3.218875825;3.512738756;2.651477764
974;NHMWien;Lacerta agilis;argus;agilis;10770.2;F;L. agilis agilis;agilis;4.442298253;3.806217947;3.272985151;2.863913699;2.518502599;2.431857429;2.77133794;3.173878459;3.518684077;2.716490452
