"MUSEUM","SP","lineage","lineage25","CODE_correct","SEX","sp_lin","linAK","SVL","TRL","HL","PL","HW","HH","MO","FLL","HLL","HS"
"648","NHMLondon","Lacerta viridis","adriatic","adriatic","1967.629","F","Lacerta_viridis_adriatic","adriatic",118.25,60.88,38.2,23.08,15.07,14.54,21.28,39.08,56.3735714285714,20.3039408981214
"649","NHMLondon","Lacerta viridis","adriatic","adriatic","1970.1422","F","Lacerta_viridis_adriatic","adriatic",95.36,51.36,27.54,20.3,13.76,12.3,18.37,30.02,44.28,16.7043338221039
"650","NHMLondon","Lacerta viridis","adriatic","adriatic","1970.1423","F","Lacerta_viridis_adriatic","adriatic",102.26,53.55,32.9,22.18,15.07,12.01,20.19,33.45,50.43,18.1252519651061
"652","NHMLondon","Lacerta viridis","adriatic","adriatic","1970.1425","F","Lacerta_viridis_adriatic","adriatic",92.98,46.27,30.28,20.63,12.96,11.26,18.75,29.23,43.76,16.4096664805264
"657","ZFMK Bonn","Lacerta viridis","adriatic","adriatic","99543","F","Lacerta_viridis_adriatic","adriatic",129,65.5,40.21,28.56,17.91,15.29,25.27,40.53,69.79,22.2473889754345
"658","ZFMK Bonn","Lacerta viridis","adriatic","adriatic","99544","F","Lacerta_viridis_adriatic","adriatic",126.5,65.1,39.39,27.15,17.26,14.72,23.86,10.14,70.09,21.5498802275128
"659","ZFMK Bonn","Lacerta viridis","adriatic","adriatic","36016","F","Lacerta_viridis_adriatic","adriatic",100.67,51.91,32.22,21.59,14.12,11.82,18.81,33.95,56.64,17.519669256282
"661","ZFMK Bonn","Lacerta viridis","adriatic","adriatic","3501","F","Lacerta_viridis_adriatic","adriatic",106.58,55.16,33.22,22.67,14.54,12.77,20.35,33.3,55,18.3393938476469
"1068","NHMWien","Lacerta viridis","adriatic","adriatic","19179.1","F","Lacerta_viridis_adriatic","adriatic",129,70.91,41.64,28.02,18.76,14.97,24.59,43.59,72.09,22.698044950555
"1070","NHMWien","Lacerta viridis","adriatic","adriatic","19179.3","F","Lacerta_viridis_adriatic","adriatic",128,69.8,42.97,28.09,17.69,15.19,24.94,41.18,68.42,22.6021795265336
